"plot","Species","Importance Value","time"
"4.4.2","PSME",0,"Pre-fire"
"4.4.3","PSME",0,"Pre-fire"
"4.4.4","PSME",0,"Pre-fire"
"4.4.5","PSME",122.896281442378,"Pre-fire"
"4.4.6","PSME",0,"Pre-fire"
"1.1.1","QUKE",110.206434180675,"Pre-fire"
"1.1.2","QUKE",158.591615788249,"Pre-fire"
"1.1.3","QUKE",190.145096706392,"Pre-fire"
"1.1.4","QUKE",195.500455672786,"Pre-fire"
"1.2.1","QUKE",130.837381898683,"Pre-fire"
"1.2.2","QUKE",161.237502645345,"Pre-fire"
"1.2.3","QUKE",206.81670940931,"Pre-fire"
"1.2.4","QUKE",216.825656704229,"Pre-fire"
"1.2.5","QUKE",115.266759780994,"Pre-fire"
"1.2.6","QUKE",150.420870242393,"Pre-fire"
"1.3.1","QUKE",124.496769012027,"Pre-fire"
"1.3.2","QUKE",158.780843786871,"Pre-fire"
"1.3.3","QUKE",175.839823983509,"Pre-fire"
"1.3.4","QUKE",168.451909331231,"Pre-fire"
"1.3.5","QUKE",165.201647520898,"Pre-fire"
"1.3.6","QUKE",201.49597277705,"Pre-fire"
"1.4.1","QUKE",125.482278860623,"Pre-fire"
"1.4.2","QUKE",119.698516258147,"Pre-fire"
"1.4.3","QUKE",132.319574270147,"Pre-fire"
"1.4.4","QUKE",122.681849490288,"Pre-fire"
"1.4.5","QUKE",136.843563404854,"Pre-fire"
"1.4.6","QUKE",128.782807286283,"Pre-fire"
"2.1.1","QUKE",166.656885841134,"Pre-fire"
"2.1.2","QUKE",165.001529472944,"Pre-fire"
"2.1.3","QUKE",144.352411633385,"Pre-fire"
"2.1.4","QUKE",201.617429392673,"Pre-fire"
"2.1.5","QUKE",128.481593822668,"Pre-fire"
"2.1.6","QUKE",134.265430490337,"Pre-fire"
"2.2.1","QUKE",191.306546021009,"Pre-fire"
"2.2.2","QUKE",235.7317581373,"Pre-fire"
"2.2.3","QUKE",141.920963941557,"Pre-fire"
"2.2.4","QUKE",229.722675293442,"Pre-fire"
"2.2.5","QUKE",111.794071897521,"Pre-fire"
"2.2.6","QUKE",126.477691699946,"Pre-fire"
"2.3.1","QUKE",128.317334851883,"Pre-fire"
"2.3.2","QUKE",127.681292349144,"Pre-fire"
"2.3.3","QUKE",172.485814867013,"Pre-fire"
"2.3.4","QUKE",153.192263363686,"Pre-fire"
"2.3.5","QUKE",179.340394231004,"Pre-fire"
"2.3.6","QUKE",152.559990993742,"Pre-fire"
"2.4.1","QUKE",177.389640540349,"Pre-fire"
"2.4.2","QUKE",195.32599686412,"Pre-fire"
"2.4.3","QUKE",158.099951188272,"Pre-fire"
"2.4.4","QUKE",199.536456084778,"Pre-fire"
"2.4.5","QUKE",156.208782904949,"Pre-fire"
"2.4.6","QUKE",117.783697960287,"Pre-fire"
"3.1.1","QUKE",125.543409894903,"Pre-fire"
"3.1.2","QUKE",242.448756957714,"Pre-fire"
"3.1.3","QUKE",226.032964753892,"Pre-fire"
"3.1.4","QUKE",246.606601027927,"Pre-fire"
"3.1.5","QUKE",160.328075051308,"Pre-fire"
"3.1.6","QUKE",148.524406455804,"Pre-fire"
"3.2.1","QUKE",164.840283407194,"Pre-fire"
"3.2.2","QUKE",126.641064689454,"Pre-fire"
"3.2.3","QUKE",263.060442107583,"Pre-fire"
"3.2.4","QUKE",134.385906382579,"Pre-fire"
"3.2.5","QUKE",181.143689134671,"Pre-fire"
"3.2.6","QUKE",177.45155228257,"Pre-fire"
"3.3.2","QUKE",132.390769768111,"Pre-fire"
"3.3.3","QUKE",113.495026391945,"Pre-fire"
"3.3.4","QUKE",235.791682391124,"Pre-fire"
"3.3.5","QUKE",145.480130465445,"Pre-fire"
"3.3.6","QUKE",135.858620253259,"Pre-fire"
"3.4.1","QUKE",137.179525087837,"Pre-fire"
"3.4.2","QUKE",177.780996730974,"Pre-fire"
"3.4.3","QUKE",124.503746616641,"Pre-fire"
"3.4.4","QUKE",150.385468407888,"Pre-fire"
