"plot","Spp","Condition","ba","tph","QMD","SDI"
"2.2.6","PILA","Post-Chips Fire",9.343894343784,66.66,42.2460254540787,21.1424885131813
"2.3.1","PILA","Post-Chips Fire",0,0,0,0
"2.3.2","PILA","Post-Chips Fire",0,0,0,0
"2.3.3","PILA","Post-Chips Fire",0,0,0,0
"2.3.4","PILA","Post-Chips Fire",40.008830036868,44.44,107.064489911455,402.697271753866
"2.3.5","PILA","Post-Chips Fire",0,0,0,0
"2.3.6","PILA","Post-Chips Fire",0,0,0,0
"2.4.1","PILA","Post-Chips Fire",0,0,0,0
"2.4.2","PILA","Post-Chips Fire",0,0,0,0
"2.4.3","PILA","Post-Chips Fire",0,0,0,0
"2.4.4","PILA","Post-Chips Fire",0,0,0,0
"2.4.5","PILA","Post-Chips Fire",0,0,0,0
"2.4.6","PILA","Post-Chips Fire",0,0,0,0
"3.1.1","PILA","Post-Chips Fire",0,0,0,0
"3.1.2","PILA","Post-Chips Fire",0,0,0,0
"3.1.3","PILA","Post-Chips Fire",0,0,0,0
"3.1.4","PILA","Post-Chips Fire",0,0,0,0
"3.1.5","PILA","Post-Chips Fire",0,0,0,0
